experiment,node,x,y,lenght_optroute
C4_S1,8,-3.06,36.577,162.71372697627245
C4_S1,9,-19.01,20.78,162.71372697627245
C4_S1,10,-14.26,6.44,162.71372697627245
C4_S1,hive,-0.5,0.05,162.71372697627245
C4_S2,1,0.0,0.0,325.93209179356427
C4_S2,2,41.56,23.77,325.93209179356427
C4_S2,3,51.07,34.96,325.93209179356427
C4_S2,4,51.07,57.51,325.93209179356427
C4_S2,5,22.54,92.17,325.93209179356427
C4_S2,6,0.46,107.96,325.93209179356427
C4_S2,7,-28.37,95.23,325.93209179356427
C4_S2,8,-6.13,73.15,325.93209179356427
C4_S2,9,-38.03,41.56,325.93209179356427
C4_S2,10,-28.52,12.88,325.93209179356427
C4_S2,hive,-0.5,0.05,325.93209179356427
C4_S3,1,0.0,0.0,489.1276273512066
C4_S3,2,62.34,35.65,489.1276273512066
C4_S3,3,76.6,52.45,489.1276273512066
C4_S3,4,76.6,86.26,489.1276273512066
C4_S3,5,33.81,138.25,489.1276273512066
C4_S3,6,0.69,161.95,489.1276273512066
C4_S3,7,-42.55,142.85,489.1276273512066
C4_S3,8,-9.2,109.73,489.1276273512066
C4_S3,9,-57.05,62.34,489.1276273512066
C4_S3,10,-42.78,19.32,489.1276273512066
C4_S3,hive,-0.5,0.05,489.1276273512066
