,Configuration,Scale,trial,session_num,user,visits,perc_error,duration,Session,accuracy,age,gender,gaming_habits,route_planning,route_optimizations,GPS_usage,transitions_lenght,transitions_error
27,C2,S2,4,4,Abd,1-10-9-8-7-6-5-4-3-2-1,2.85996559233488,64.15839999999997,C2_S2,100.0,25,male,4.0,3.0,4.0,4.0,348.980394967228,0.35346109171613277
28,C2,S2,5,4,Abd,1-2-3-4-5-6-7-8-9-10-1,0.5760991426703327,59.15909999999997,C2_S2,100.0,25,male,4.0,3.0,4.0,4.0,348.98039496722794,0.3534610917161164
29,C2,S2,6,4,Abd,1-2-3-4-5-6-7-8-9-10-1,0.4980671606550683,62.3254,C2_S2,100.0,25,male,4.0,3.0,4.0,4.0,348.98039496722794,0.3534610917161164
30,C2,S3,1,6,Abd,1-10-9-8-7-6-5-3-4-2-1,3.0211641778736538,91.92360000000008,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,533.6548056639396,0.0
31,C2,S3,2,6,Abd,1-2-4-3-6-5-7-8-9-10-1,4.918911207011865,99.53719999999998,C2_S3,70.0,25,male,4.0,3.0,4.0,4.0,540.1210594506254,1.2116922246471469
32,C2,S3,3,6,Abd,1-10-9-8-7-6-5-3-4-2-1,2.988913338354873,90.88839999999992,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,533.6548056639396,0.0
33,C2,S3,4,6,Abd,1-10-9-8-7-6-5-3-4-2-1,2.5470807085970173,86.822,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,533.6548056639396,0.0
34,C2,S3,5,6,Abd,1-10-9-8-7-6-3-4-5-2-1,0.3421376576559962,81.72299999999996,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,521.64189924275,0.0
35,C2,S3,6,6,Abd,1-10-9-8-7-6-3-4-5-2-1,0.0,85.11999999999989,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,521.64189924275,0.0
36,C3,S1,1,11,Abd,1-10-9-8-6-7-5-4-3-2-1,5.669907670088207,31.062999999999988,C3_S1,80.0,25,male,4.0,3.0,4.0,4.0,168.48027569921615,0.0
37,C3,S1,2,11,Abd,1-10-9-8-7-6-5-4-3-2-1,0.3978181255480413,29.11500000000001,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
38,C3,S1,3,11,Abd,1-10-9-8-7-6-5-4-3-2-1,1.1514803734461223,38.16200000000004,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
39,C3,S1,4,11,Abd,1-10-9-8-7-6-5-4-3-2-1,0.6709392892144115,110.15200000000004,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
40,C3,S1,5,11,Abd,1-10-9-8-7-6-5-4-3-2-1,0.6995022437716025,28.712999999999965,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
41,C3,S1,6,11,Abd,1-10-9-8-7-6-5-4-3-2-1,0.0,27.39599999999996,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
42,C3,S2,1,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.3864369726320358,53.559999999999945,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
43,C3,S2,2,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.2953998304197703,50.276999999999816,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
44,C3,S2,3,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.1866575336531218,49.6099999999999,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
45,C3,S2,4,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.034154624388591,51.29299999999989,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
46,C3,S2,5,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.0,92.70500000000015,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
47,C3,S2,6,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.3770821214667689,50.39399999999978,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
48,C3,S3,1,12,Abd,1-10-9-8-7-6-5-4-3-2-1,0.2352620847475656,77.63300000000004,C3_S3,100.0,25,male,4.0,3.0,4.0,4.0,487.04730642825336,0.0
49,C3,S3,2,12,Abd,1-10-9-8-7-6-5-4-3-2-1,0.1799539826614058,79.24000000000001,C3_S3,100.0,25,male,4.0,3.0,4.0,4.0,487.04730642825336,0.0
50,C3,S3,3,12,Abd,1-10-9-8-7-6-5-4-3-2-1,0.7550875763578142,75.99000000000001,C3_S3,100.0,25,male,4.0,3.0,4.0,4.0,487.04730642825336,0.0
51,C3,S3,4,12,Abd,1-10-9-8-7-6-5-4-3-2-1,0.1876443238007772,76.97400000000016,C3_S3,100.0,25,male,4.0,3.0,4.0,4.0,487.04730642825336,0.0
52,C3,S3,5,12,Abd,1-10-9-8-7-6-5-4-3-2-1,0.2549659858289863,76.125,C3_S3,100.0,25,male,4.0,3.0,4.0,4.0,487.04730642825336,0.0
53,C3,S3,6,12,Abd,1-10-9-8-7-6-5-4-3-2-1,0.0,76.53999999999996,C3_S3,100.0,25,male,4.0,3.0,4.0,4.0,487.04730642825336,0.0
54,C4,S1,1,4,Abd,1-10-9-8-7-6-5-4-3-2-1,1.8481572872721463,54.009000000000015,C4_S1,100.0,25,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
55,C4,S1,2,4,Abd,1-10-9-7-8-6-5-4-3-2-1,6.223800047759306,34.07899999999995,C4_S1,80.0,25,male,4.0,3.0,4.0,4.0,169.9577492664097,4.147704631213912
56,C4,S1,3,4,Abd,1-10-9-8-7-6-5-4-3-2-1,1.143484836424428,29.745999999999867,C4_S1,100.0,25,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
57,C4,S1,4,4,Abd,1-10-9-8-7-6-5-4-3-2-1,1.4597787152750237,26.945999999999916,C4_S1,100.0,25,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
58,C4,S1,5,4,Abd,1-10-9-8-7-6-5-4-3-2-1,1.5524954230677492,26.496999999999844,C4_S1,100.0,25,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
59,C4,S1,6,4,Abd,1-10-9-8-7-6-5-4-3-2-1,0.0,33.49599999999987,C4_S1,100.0,25,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
60,C4,S2,1,3,Abd,1-10-9-8-7-6-5-4-3-2-1,0.8143774161915411,72.94050000000004,C4_S2,100.0,25,male,4.0,3.0,4.0,4.0,326.4079399125775,0.0
61,C4,S2,2,3,Abd,1-2-3-4-5-6-7-8-9-10-1,0.0,74.30100000000004,C4_S2,100.0,25,male,4.0,3.0,4.0,4.0,326.40793991257743,0.0
62,C4,S2,3,3,Abd,1-10-9-8-7-6-5-4-3-2-1,0.7522878617252883,59.257999999999925,C4_S2,100.0,25,male,4.0,3.0,4.0,4.0,326.4079399125775,1.741483950299509e-14
63,C4,S2,4,3,Abd,1-10-9-8-7-6-5-4-3-2-1,0.6799692319363583,57.45900000000006,C4_S2,100.0,25,male,4.0,3.0,4.0,4.0,326.4079399125775,1.741483950299509e-14
64,C4,S2,5,3,Abd,1-2-3-4-5-6-8-7-9-10-1,5.149764233804939,62.13999999999987,C4_S2,80.0,25,male,4.0,3.0,4.0,4.0,339.9584871743721,4.15141471908556
65,C4,S2,6,3,Abd,1-10-9-8-7-6-5-4-3-2-1,0.371044938908479,55.67600000000016,C4_S2,100.0,25,male,4.0,3.0,4.0,4.0,326.4079399125775,1.741483950299509e-14
66,C4,S3,1,2,Abd,1-10-9-8-7-6-5-4-3-2-1,0.7232322682937238,130.43320000000003,C4_S3,100.0,25,male,4.0,3.0,4.0,4.0,489.6036157312779,0.0
67,C4,S3,2,2,Abd,1-2-3-4-5-6-7-8-9-10-1,0.0,115.6852,C4_S3,100.0,25,male,4.0,3.0,4.0,4.0,489.6036157312779,0.0
68,C4,S3,3,2,Abd,1-10-9-8-7-6-5-4-3-2-1,0.5307274309504261,92.33810000000004,C4_S3,100.0,25,male,4.0,3.0,4.0,4.0,489.6036157312779,0.0
69,C4,S3,4,2,Abd,1-10-9-7-8-6-5-4-3-2-1,5.358758640467548,96.30630000000008,C4_S3,80.0,25,male,4.0,3.0,4.0,4.0,509.9410079226358,4.153848447581765
70,C4,S3,5,2,Abd,1-10-9-8-7-6-5-4-3-2-1,0.2022083667085263,86.70759999999996,C4_S3,100.0,25,male,4.0,3.0,4.0,4.0,489.6036157312779,0.0
71,C4,S3,6,2,Abd,1-10-9-7-8-6-5-4-3-2-1,4.248930345552774,85.27240000000006,C4_S3,80.0,25,male,4.0,3.0,4.0,4.0,509.9410079226358,4.153848447581765
72,demo,session,1,0,Abd,1-2-3-4-5-6-1,2.6708068669412164,34.37892,demo_session,66.66666666666667,25,male,4.0,3.0,4.0,4.0,151.94837931338816,0.0
73,demo,session,2,0,Abd,1-2-3-4-5-6-1,2.333448888445254,35.14547,demo_session,66.66666666666667,25,male,4.0,3.0,4.0,4.0,151.94837931338816,0.0
74,demo,session,3,0,Abd,1-2-3-4-5-6-1,0.0,27.863109999999992,demo_session,66.66666666666667,25,male,4.0,3.0,4.0,4.0,151.94837931338816,0.0
75,demo,session,4,0,Abd,1-2-3-4-5-6-1,0.7105964936891995,27.74650000000001,demo_session,66.66666666666667,25,male,4.0,3.0,4.0,4.0,151.94837931338816,0.0
76,demo,session,5,0,Abd,1-2-3-4-6-5-1,60.29852336753674,52.17660000000001,demo_session,100.0,25,male,4.0,3.0,4.0,4.0,176.64704071150692,16.254639575443345
77,demo,session,6,0,Abd,1-2-3-4-5-6-1,0.4075003810620852,33.47900000000001,demo_session,66.66666666666667,25,male,4.0,3.0,4.0,4.0,151.94837931338816,0.0
78,C1,S1,1,10,Amro,1-2-3-4-5-6-7-8-9-10-1,1.3288822422232205,27.78800000000001,C1_S1,100.0,20,male,4.0,3.0,4.0,4.0,172.8367286977851,1.6444253281431282e-14
79,C1,S1,2,10,Amro,1-10-9-8-7-6-5-4-3-2-1,3.353058493973237,27.953999999999724,C1_S1,100.0,20,male,4.0,3.0,4.0,4.0,172.83672869778508,0.0
80,C1,S1,3,10,Amro,1-2-3-4-5-6-7-8-9-10-1,1.4833853913662092,26.804000000000087,C1_S1,100.0,20,male,4.0,3.0,4.0,4.0,172.8367286977851,1.6444253281431282e-14
81,C1,S1,4,10,Amro,1-10-9-8-7-6-5-4-3-2-1,5.221836445078878,28.170000000000076,C1_S1,100.0,20,male,4.0,3.0,4.0,4.0,172.83672869778508,0.0
82,C1,S1,5,10,Amro,1-2-3-4-5-6-7-8-9-10-1,0.0,27.003999999999905,C1_S1,100.0,20,male,4.0,3.0,4.0,4.0,172.8367286977851,1.6444253281431282e-14
83,C1,S1,6,10,Amro,1-2-3-4-5-6-7-8-9-10-1,3.1062353866517323,26.98700000000008,C1_S1,100.0,20,male,4.0,3.0,4.0,4.0,172.8367286977851,1.6444253281431282e-14
84,C1,S2,1,8,Amro,1-2-3-4-5-6-7-8-9-10-1,0.6082217575537566,59.55499999999984,C1_S2,100.0,20,male,4.0,3.0,4.0,4.0,345.6734573955702,1.6444253281431282e-14
85,C1,S2,2,8,Amro,1-10-9-8-7-6-5-4-3-2-1,1.2306884712569366,57.27299999999991,C1_S2,100.0,20,male,4.0,3.0,4.0,4.0,345.67345739557015,0.0
86,C1,S2,3,8,Amro,1-2-3-4-5-6-7-8-9-10-1,0.0,101.46900000000004,C1_S2,100.0,20,male,4.0,3.0,4.0,4.0,345.6734573955702,1.6444253281431282e-14
87,C1,S2,4,8,Amro,1-2-3-4-5-6-7-8-9-10-1,0.9415362529764392,59.38799999999992,C1_S2,100.0,20,male,4.0,3.0,4.0,4.0,345.6734573955702,1.6444253281431282e-14
88,C1,S2,5,8,Amro,1-10-9-8-7-6-5-4-3-2-1,1.013897134520745,54.35799999999995,C1_S2,100.0,20,male,4.0,3.0,4.0,4.0,345.67345739557015,0.0
89,C1,S2,6,8,Amro,1-2-3-4-5-6-7-8-9-10-1,0.0992194696215371,52.67600000000016,C1_S2,100.0,20,male,4.0,3.0,4.0,4.0,345.6734573955702,1.6444253281431282e-14
90,C1,S3,1,9,Amro,1-10-9-8-7-6-5-4-3-2-1,0.772783435572816,81.41100000000006,C1_S3,100.0,20,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
91,C1,S3,2,9,Amro,1-2-3-4-5-6-7-8-9-10-1,0.0,77.98000000000002,C1_S3,100.0,20,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
92,C1,S3,3,9,Amro,1-2-3-4-5-6-7-8-9-10-1,0.1653923344113349,80.19599999999991,C1_S3,100.0,20,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
93,C1,S3,4,9,Amro,1-2-3-4-5-6-7-8-9-10-1,0.3517989040716725,79.69599999999991,C1_S3,100.0,20,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
94,C1,S3,5,9,Amro,1-10-9-8-7-6-5-4-3-2-1,1.4664281554205831,77.94599999999991,C1_S3,100.0,20,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
95,C1,S3,6,9,Amro,1-2-3-4-5-6-7-8-9-10-1,0.7734443828424317,78.71399999999994,C1_S3,100.0,20,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
96,C2,S1,1,6,Amro,1-10-9-8-7-6-3-5-4-2-1,1.0720750488449584,62.287499999999966,C2_S1,70.0,20,male,4.0,3.0,4.0,4.0,174.0811416276921,0.11840635783027323
97,C2,S1,2,6,Amro,1-2-5-4-3-6-7-8-9-10-1,1.378613090449374,37.63229999999999,C2_S1,80.0,20,male,4.0,3.0,4.0,4.0,173.87526226247925,0.0
98,C2,S1,3,6,Amro,1-2-5-4-3-6-7-8-9-10-1,2.419501589855573,31.36860000000001,C2_S1,80.0,20,male,4.0,3.0,4.0,4.0,173.87526226247925,0.0
99,C2,S1,4,6,Amro,1-2-5-4-3-6-7-8-9-10-1,3.393108550741291,28.28679999999997,C2_S1,80.0,20,male,4.0,3.0,4.0,4.0,173.87526226247925,0.0
100,C2,S1,5,6,Amro,1-2-5-4-3-6-7-8-9-10-1,0.0,38.782100000000014,C2_S1,80.0,20,male,4.0,3.0,4.0,4.0,173.87526226247925,0.0
101,C2,S1,6,6,Amro,1-2-5-4-3-6-7-8-9-10-1,8.118619028464153,30.56899999999996,C2_S1,80.0,20,male,4.0,3.0,4.0,4.0,173.87526226247925,0.0
102,C2,S2,1,5,Amro,1-2-4-5-3-6-7-8-9-10-1,0.8304481104890716,85.09336,C2_S2,70.0,20,male,4.0,3.0,4.0,4.0,348.1677821550608,0.11978461760902258
103,C2,S2,2,5,Amro,1-10-9-8-7-6-5-4-3-2-1,0.498373916126461,80.67889,C2_S2,100.0,20,male,4.0,3.0,4.0,4.0,348.980394967228,0.35346109171613277
104,C2,S2,3,5,Amro,1-2-5-4-3-6-7-8-9-10-1,0.0,91.1072,C2_S2,80.0,20,male,4.0,3.0,4.0,4.0,347.75122967436465,0.0
105,C2,S2,4,5,Amro,1-10-9-8-7-6-3-4-5-2-1,0.4689016018640498,64.33639999999997,C2_S2,80.0,20,male,4.0,3.0,4.0,4.0,347.7512296743647,1.6346000821919843e-14
106,C2,S2,5,5,Amro,1-2-4-5-3-6-7-8-9-10-1,0.781891743229033,63.92010000000005,C2_S2,70.0,20,male,4.0,3.0,4.0,4.0,348.1677821550608,0.11978461760903894
107,C2,S2,6,5,Amro,1-2-4-5-3-6-7-8-9-10-1,1.262669812325547,56.87329999999997,C2_S2,70.0,20,male,4.0,3.0,4.0,4.0,348.1677821550608,0.11978461760903894
108,C2,S3,1,7,Amro,1-2-5-4-3-6-7-8-9-10-1,0.0049381520474364,108.98220000000003,C2_S3,80.0,20,male,4.0,3.0,4.0,4.0,521.64189924275,0.0
109,C2,S3,2,7,Amro,1-10-9-8-7-6-3-5-4-2-1,0.2756334284840432,80.47899999999993,C2_S3,70.0,20,male,4.0,3.0,4.0,4.0,522.2552452432394,0.11757989559116594
110,C2,S3,3,7,Amro,1-2-4-5-3-6-7-8-9-10-1,1.7432829603395403,80.16249999999991,C2_S3,70.0,20,male,4.0,3.0,4.0,4.0,522.2552452432394,0.11757989559116594
111,C2,S3,4,7,Amro,1-2-4-5-6-3-7-8-9-10-1,3.0542950778345057,79.77969999999993,C2_S3,70.0,20,male,4.0,3.0,4.0,4.0,531.4478288747725,1.879820169019679
112,C2,S3,5,7,Amro,1-10-9-8-7-6-5-4-3-2-1,1.3051132354772348,81.66200000000003,C2_S3,100.0,20,male,4.0,3.0,4.0,4.0,523.4700442506888,0.3504597714625055
113,C2,S3,6,7,Amro,1-2-3-4-5-6-7-8-9-10-1,0.0,87.42599999999993,C2_S3,100.0,20,male,4.0,3.0,4.0,4.0,523.4700442506889,0.3504597714625273
114,C3,S1,1,11,Amro,1-10-9-8-6-7-5-4-3-2-1,3.3689893985741906,38.01600000000008,C3_S1,80.0,20,male,4.0,3.0,4.0,4.0,168.48027569921615,3.81222411591463
115,C3,S1,2,11,Amro,1-2-3-4-5-6-7-8-9-10-1,0.0,24.27199999999993,C3_S1,100.0,20,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
116,C3,S1,3,11,Amro,1-10-9-8-6-7-5-4-3-2-1,5.0497001456344695,30.23599999999988,C3_S1,80.0,20,male,4.0,3.0,4.0,4.0,168.48027569921615,3.81222411591463
117,C3,S1,4,11,Amro,1-2-3-4-5-6-8-7-9-10-1,12.27285157367896,28.787000000000265,C3_S1,80.0,20,male,4.0,3.0,4.0,4.0,176.6280592514989,8.832630977591412
118,C3,S1,5,11,Amro,1-10-9-8-6-5-4-3-2-7-1,30.77078152922548,29.61999999999989,C3_S1,70.0,20,male,4.0,3.0,4.0,4.0,199.0146986183123,22.626571030840044
119,C3,S1,6,11,Amro,1-2-3-4-5-6-7-8-9-10-1,1.9349033025317617,24.570999999999916,C3_S1,100.0,20,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
120,C3,S2,1,13,Amro,1-10-9-8-7-6-5-4-3-2-1,0.0,56.1239999999998,C3_S2,100.0,20,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
